domain,record_exists,institution
betway.com,1,Lietuvos bankas
unibet.lt,1,Lietuvos bankas
unibet.com,1,Lietuvos bankas
lt.unibet.com,1,Lietuvos bankas
williamhill.com,1,Lietuvos bankas
triobet.com,1,Lietuvos bankas
m.triobet.com,1,Lietuvos bankas
triobet.co.uk,1,Lietuvos bankas
triobet1.com,1,Lietuvos bankas
triobet2.com,1,Lietuvos bankas
triobet3.com,1,Lietuvos bankas
triobet4.com,1,Lietuvos bankas
triobet5.com,1,Lietuvos bankas
triobet15.com,1,Lietuvos bankas
triobet17.com,1,Lietuvos bankas
triobet18.com,1,Lietuvos bankas
triobet19.com,1,Lietuvos bankas
triobet20.com,1,Lietuvos bankas
triobet21.com,1,Lietuvos bankas
triobet22.com,1,Lietuvos bankas
triobet23.com,1,Lietuvos bankas
triobet24.com,1,Lietuvos bankas
triobet25.com,1,Lietuvos bankas
triobet26.com,1,Lietuvos bankas
triobet27.com,0,Lietuvos bankas
triobet28.com,1,Lietuvos bankas
triobet33.com,1,Lietuvos bankas
1triobet.com,1,Lietuvos bankas
2triobet.com,1,Lietuvos bankas
3triobet.com,1,Lietuvos bankas
lt.unibet-3.com,1,Lietuvos bankas
pokerstars.eu,1,Lietuvos bankas
pokerstars.com,1,Lietuvos bankas
pokerstars.asia,1,Lietuvos bankas
pokerstars.be,1,Lietuvos bankas
pokerstars.bg,1,Lietuvos bankas
pokerstars.bi,1,Lietuvos bankas
pokerstars.ca,1,Lietuvos bankas
pokerstars.cards,1,Lietuvos bankas
pokerstars.cc,1,Lietuvos bankas
pokerstars.cm,1,Lietuvos bankas
pokerstars.co,1,Lietuvos bankas
pokerstars.co.mw,1,Lietuvos bankas
pokerstars.co.tt,1,Lietuvos bankas
pokerstars.co.uk,1,Lietuvos bankas
pokerstars.com.ai,1,Lietuvos bankas
pokerstars.com.gp,1,Lietuvos bankas
pokerstars.com.gt,1,Lietuvos bankas
pokerstars.com.kg,1,Lietuvos bankas
pokerstars.com.lv,1,Lietuvos bankas
pokerstars.com.mo,1,Lietuvos bankas
pokerstars.com.mw,1,Lietuvos bankas
pokerstars.com.ni,1,Lietuvos bankas
pokerstars.com.sv,1,Lietuvos bankas
pokerstars.com.tt,1,Lietuvos bankas
marathonbet.co.uk,1,Lietuvos bankas
mobile.marathonbet.co.uk,1,Lietuvos bankas
marathonbet.com,1,Lietuvos bankas
marathonbet0.com,0,Lietuvos bankas
betmarathon.com,1,Lietuvos bankas
marathonbet.cm,1,Lietuvos bankas
marathonbet.info,0,Lietuvos bankas
marathonbet.kg,1,Lietuvos bankas
marathonbet.kz,0,Lietuvos bankas
marathonbet.net,1,Lietuvos bankas
marathonbet.org,1,Lietuvos bankas
mobile.marathonbet.com,1,Lietuvos bankas
pinnaclesports.com,1,Lietuvos bankas
pinnaclesports.eu,1,Lietuvos bankas
pinnaclesports.de,1,Lietuvos bankas
pinnaclesports.co.uk,1,Lietuvos bankas
unibet.de,1,Lietuvos bankas
unibet.co.uk,1,Lietuvos bankas
unibet.dk,1,Lietuvos bankas
unibet.ee,1,Lietuvos bankas
lt.unibet-2.com,1,Lietuvos bankas
nordicbet.com,1,Lietuvos bankas
nordicbet.fi,1,Lietuvos bankas
